"studentid","msoffsetfromstart","affect"
"BNHS0104",47853,"CONCENTRATING"
"BNHS0104",102404,"CONCENTRATING"
"BNHS0104",148021,"CONCENTRATING"
"BNHS0104",199831,"CONCENTRATING"
"BNHS0104",261062,"CONCENTRATING"
"BNHS0104",331377,NA
"BNHS0104",391499,"CONFUSED"
"BNHS0104",474538,"CONFUSED"
"BNHS0104",553270,"CONCENTRATING"
"BNHS0104",611564,"CONCENTRATING"
"BNHS0104",665006,"CONCENTRATING"
"BNHS0104",721428,"CONCENTRATING"
"BNHS0104",772417,"CONCENTRATING"
"BNHS0104",834289,"CONCENTRATING"
"BNHS0104",906332,"CONCENTRATING"
"BNHS0104",954735,"CONCENTRATING"
"BNHS0104",1001094,"CONCENTRATING"
"BNHS0104",1044050,"CONCENTRATING"
"BNHS0104",1092628,"CONCENTRATING"
"BNHS0104",1136093,"CONFUSED"
"BNHS0104",1182210,NA
"BNHS0104",1242454,"BORED"
"BNHS0104",1303261,"CONCENTRATING"
"BNHS0104",1347841,"CONCENTRATING"
"BNHS0104",1417966,NA
"BNHS0104",1481581,"CONCENTRATING"
"BNHS0104",1531473,"CONCENTRATING"
"BNHS0104",1596320,"BORED"
"BNHS0104",1658669,"BORED"
"BNHS0104",1695347,"CONFUSED"
"BNHS0104",1761615,"CONFUSED"
"BNHS0104",1822426,"CONCENTRATING"
"BNHS0104",1866463,"BORED"
"BNHS0104",1913719,"CONCENTRATING"
"BNHS0104",1983584,"CONCENTRATING"
"BNHS0104",2036382,"CONCENTRATING"
"BNHS0104",2100738,"CONCENTRATING"
"BNHS0104",2137897,"CONCENTRATING"
"BNHS0104",2189812,"CONCENTRATING"
"BNHS0104",2258397,"CONCENTRATING"
"BNHS0104",2317819,"CONCENTRATING"
"BNHS0104",2367202,"CONCENTRATING"
"BNHS0104",2416895,"CONCENTRATING"
"BNHS0104",2485856,"CONCENTRATING"
"BNHS0104",2545390,NA
"BNHS0104",2623682,"CONCENTRATING"
"BNHS0104",2672357,"BORED"
"BNHS0104",2712971,"BORED"
"BNHS0104",2781213,"CONCENTRATING"
"BNHS0104",2853932,"CONCENTRATING"
"BNHS0104",2920650,"BORED"
"BNHS0104",2956113,"CONCENTRATING"
"BNHS0104",3001104,"CONCENTRATING"
"BNHS0104",3033359,"CONCENTRATING"
"BNHS0104",3086864,"CONCENTRATING"
"BNHS0104",3132720,"CONCENTRATING"
"BNHS0104",3169762,"BORED"
"BNHS0104",3213302,"CONCENTRATING"
"BNHS0104",3265442,"CONCENTRATING"
"BNHS0104",3312908,NA
"BNHS0104",3345682,"CONCENTRATING"
"BNHS0104",3398884,"CONCENTRATING"
"BNHS0104",3439446,"CONCENTRATING"
"BNHS0104",3514443,"CONCENTRATING"
"BNHS0104",3559110,"BORED"
"BNHS0104",3608016,"BORED"
"BNHS0104",3691363,"BORED"
"BNHS0104",3735724,NA
"BNHS0104",3837592,NA
"BNHS0105",55825,"CONCENTRATING"
"BNHS0105",109945,"CONCENTRATING"
"BNHS0105",151393,"CONCENTRATING"
"BNHS0105",204851,"CONCENTRATING"
"BNHS0105",266758,"CONCENTRATING"
"BNHS0105",335152,"CONCENTRATING"
"BNHS0105",398935,NA
"BNHS0105",477914,"CONCENTRATING"
"BNHS0105",560514,"CONCENTRATING"
"BNHS0105",615518,"CONCENTRATING"
"BNHS0105",668078,"CONCENTRATING"
"BNHS0105",727158,NA
"BNHS0105",775825,"CONCENTRATING"
"BNHS0105",837432,NA
"BNHS0105",913311,"CONCENTRATING"
"BNHS0105",958380,"CONCENTRATING"
"BNHS0105",1005368,NA
"BNHS0105",1048566,"CONCENTRATING"
"BNHS0105",1096307,NA
"BNHS0105",1139021,"CONCENTRATING"
"BNHS0105",1189273,"CONCENTRATING"
"BNHS0105",1249167,"CONCENTRATING"
"BNHS0105",1312352,"CONCENTRATING"
"BNHS0105",1366634,"CONCENTRATING"
"BNHS0105",1422422,"CONCENTRATING"
"BNHS0105",1487311,"CONCENTRATING"
"BNHS0105",1538286,"CONCENTRATING"
"BNHS0105",1601136,"CONCENTRATING"
"BNHS0105",1662031,"CONCENTRATING"
"BNHS0105",1698524,"CONCENTRATING"
"BNHS0105",1764525,"CONCENTRATING"
"BNHS0105",1828506,"CONCENTRATING"
"BNHS0105",1869323,"CONCENTRATING"
"BNHS0105",1920317,"CONCENTRATING"
"BNHS0105",1991839,"CONCENTRATING"
"BNHS0105",2039030,"CONCENTRATING"
"BNHS0105",2104938,"CONCENTRATING"
"BNHS0105",2141070,"CONCENTRATING"
"BNHS0105",2204791,"CONCENTRATING"
"BNHS0105",2261042,"CONCENTRATING"
"BNHS0105",2321409,"CONCENTRATING"
"BNHS0105",2370375,"CONCENTRATING"
"BNHS0105",2419496,"CONCENTRATING"
"BNHS0105",2490990,"CONCENTRATING"
"BNHS0105",2549903,"CONCENTRATING"
"BNHS0105",2626921,"CONCENTRATING"
"BNHS0105",2675876,"CONCENTRATING"
"BNHS0105",2720361,"CONCENTRATING"
"BNHS0105",2786214,"CONCENTRATING"
"BNHS0105",2856984,"CONCENTRATING"
"BNHS0105",2923469,"CONCENTRATING"
"BNHS0105",2958663,"CONCENTRATING"
"BNHS0105",3004422,"CONCENTRATING"
"BNHS0105",3037543,"CONCENTRATING"
"BNHS0105",3089531,"CONCENTRATING"
"BNHS0105",3144023,NA
"BNHS0105",3172897,"CONCENTRATING"
"BNHS0105",3216570,"CONCENTRATING"
"BNHS0105",3280998,"CONCENTRATING"
"BNHS0105",3316526,"FRUSTRATED"
"BNHS0105",3350125,"CONCENTRATING"
"BNHS0105",3404881,"CONCENTRATING"
"BNHS0105",3451232,"BORED"
"BNHS0105",3517943,"CONCENTRATING"
"BNHS0105",3563378,"CONCENTRATING"
"BNHS0105",3611623,"CONCENTRATING"
"BNHS0105",3694990,"CONCENTRATING"
"BNHS0105",3757945,"BORED"
"BNHS0105",3845597,"CONCENTRATING"
"BNHS0115",77400,NA
"BNHS0115",133501,"CONCENTRATING"
"BNHS0115",181278,"CONCENTRATING"
"BNHS0115",224114,NA
"BNHS0115",262135,"CONCENTRATING"
